"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","24","4","4","1","3.140029","0","0"
"/OculusVR/Materials/OculusMR_WhiteMaterial.OculusMR_WhiteMaterial","24","4","4","1","2.833730","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","24","4","4","1","2.724632","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey_Lit.OculusMR_ChromaKey_Lit","24","32","32","1","34.500763","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","24","2","2","1","0.998813","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","24","2","2","1","0.916342","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","24","4","4","1","1.865108","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","24","4","4","1","1.521111","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","24","60","60","1","36.742630","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","24","2","2","1","0.854805","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","24","7","12","1","3.052766","0","0"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","24","55","55","1","748.629700","0","0"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","24","55","55","1","165.177124","0","0"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","24","55","55","1","688.505371","0","0"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","24","55","55","1","641.989075","0","0"
"/Game/StarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","24","55","55","1","106.232658","0","0"
"/Game/StarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","24","55","55","1","74.639511","0","0"
"/Game/StarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","24","55","55","1","98.207024","0","0"
"/Game/StarterContent/Materials/M_Concrete_Grime.M_Concrete_Grime","24","55","55","1","120.694160","0","0"
"/Game/StarterContent/Materials/M_Water_Ocean.M_Water_Ocean","24","55","55","1","76.346405","0","0"
"/Game/StarterContent/Materials/M_Water_Lake.M_Water_Lake","24","55","55","1","78.597404","0","0"
"/Game/StarterContent/Materials/M_Tech_Panel.M_Tech_Panel","24","55","55","1","73.589241","0","0"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","24","55","55","1","73.598549","0","0"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","24","55","55","1","89.510574","0","0"
"/Game/StarterContent/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","24","55","55","1","41.658913","0","0"
"/Game/StarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","24","55","55","1","50.330814","0","0"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","24","32","32","1","39.221107","0","0"
"/Game/StarterContent/Materials/M_Rock_Slate.M_Rock_Slate","24","55","55","1","40.511196","0","0"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","24","55","55","1","36.529011","0","0"
"/Game/StarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","24","55","55","1","32.467243","0","0"
"/Game/StarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","24","55","55","1","29.093115","0","0"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","24","55","55","1","43.594311","0","0"
"/Game/StarterContent/Props/Materials/M_Lamp.M_Lamp","24","55","55","1","32.016171","0","0"
"/Game/StarterContent/Materials/M_Metal_Rust.M_Metal_Rust","24","55","55","1","30.658964","0","0"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","24","55","55","1","35.710171","0","0"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","24","55","55","1","35.986507","0","0"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","24","55","55","1","41.686806","0","0"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","24","55","55","1","31.420097","0","0"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","24","55","55","1","182.102585","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","24","2","2","1","1.232791","0","0"
"/Game/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","24","55","55","1","40.590626","0","0"
"/Game/StarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","24","55","55","1","31.850952","0","0"
"/Game/StarterContent/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","24","55","55","1","33.680065","0","0"
"/Game/StarterContent/Materials/M_Ceramic_Tile_Checker.M_Ceramic_Tile_Checker","24","55","55","1","38.029682","0","0"
"/Game/StarterContent/Materials/M_Brick_Hewn_Stone.M_Brick_Hewn_Stone","24","55","55","1","31.315571","0","0"
"/Game/StarterContent/Materials/M_Brick_Cut_Stone.M_Brick_Cut_Stone","24","55","55","1","32.988525","0","0"
"/Game/StarterContent/Materials/M_Brick_Clay_Old.M_Brick_Clay_Old","24","55","55","1","35.250263","0","0"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","24","12","12","1","5.403663","0","0"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","24","96","96","1","56.739552","0","0"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","24","16","16","1","6.505554","0","0"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","24","18","18","1","7.298482","0","0"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","24","12","12","1","4.753717","0","0"
"/Game/StarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","24","55","55","1","31.009472","0","0"
"/Game/StarterContent/Materials/M_Brick_Clay_Beveled.M_Brick_Clay_Beveled","24","55","55","1","34.749020","0","0"
"/Game/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","24","55","55","1","29.603577","0","0"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","24","55","55","1","30.770992","0","0"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","24","55","55","1","42.435310","0","0"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","24","55","55","1","96.295837","0","0"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","24","55","55","1","75.571556","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","24","55","55","1","68.035896","0","0"
"/Game/StarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","24","128","128","1","161.434875","0","0"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","24","55","55","1","77.120651","0","0"
"/Game/StarterContent/Materials/M_Glass.M_Glass","24","59","59","1","76.224197","0","0"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","24","55","55","1","74.759064","0","0"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","24","59","59","1","79.169579","0","0"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","24","55","55","1","68.445396","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.M_LightStage_Skybox_Master","24","4","4","2","4.373236","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","24","55","55","1","65.806175","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ColorGrid.M_ColorGrid","24","55","55","1","73.465881","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoatBlack.M_ClearCoatBlack","24","55","55","1","74.559395","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ClearCoat.M_ClearCoat","24","55","55","1","81.968300","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","24","115","115","1","173.426254","0","0"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","24","55","55","1","76.707031","0","0"
"/Engine/EditorMaterials/Thumbnails/SkySphereMaterial.SkySphereMaterial","24","2","2","1","1.838702","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","24","2","2","1","1.599142","0","0"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","24","55","55","1","77.738319","0","0"
"/Game/StarterContent/Props/Materials/M_Rock.M_Rock","24","55","55","1","76.496155","0","0"
"/Game/StarterContent/Props/Materials/M_MaterialSphere_Plain.M_MaterialSphere_Plain","24","30","30","1","39.699211","0","0"
"/Game/StarterContent/Props/Materials/M_MaterialSphere.M_MaterialSphere","24","30","30","1","47.125938","0","0"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","24","55","55","1","78.433197","0","0"
"/Game/StarterContent/Props/Materials/M_Bush.M_Bush","24","60","65","1","73.571098","0","0"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","24","16","16","1","16.270092","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","24","16","16","1","13.479940","0","0"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","24","12","12","1","10.285680","0","0"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","24","18","18","1","14.753284","0","0"
"/Game/StarterContent/Materials/M_ColorGrid_LowSpec.M_ColorGrid_LowSpec","24","55","55","1","78.337997","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","2","2","1","1.606718","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","2","2","1","1.653187","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","24","55","55","1","80.231247","0","0"
"/Game/PuzzleBP/lambert1.lambert1","24","30","30","1","65.952942","0","0"
"/Game/Puzzle/Meshes/BaseMaterial.BaseMaterial","24","115","115","1","163.672211","0","0"
